"","predictors","X.IncMSE"
"median_age","median_age",46.6794209813175
"percent_income_spent_on_rent","percent_income_spent_on_rent",26.7737663245676
"mobile_homes","mobile_homes",24.4443033135006
"income_per_capita","income_per_capita",23.3646560339269
"group_quarters","group_quarters",22.563172630904
"vacant_housing_units","vacant_housing_units",22.1660732655845
"walked_to_work","walked_to_work",20.4851056048035
"black_including_hispanic","black_including_hispanic",19.9115735771709
"owner_occupied_housing_units_upper_value_quartile","owner_occupied_housing_units_upper_value_quartile",19.4943302329009
"median_rent","median_rent",18.1327039920327
"black_male_45_54","black_male_45_54",17.7937650753087
"less_than_high_school_graduate","less_than_high_school_graduate",17.3245401792617
"median_income","median_income",17.2198232784672
"owner_occupied_housing_units_median_value","owner_occupied_housing_units_median_value",17.1971474275612
"occupation_production_transportation_material","occupation_production_transportation_material",16.8737151273743
"employed_agriculture_forestry_fishing_hunting_mining","employed_agriculture_forestry_fishing_hunting_mining",16.6685193826516
"black_pop","black_pop",16.466218110476
"male_male_households","male_male_households",16.3337314971341
"owner_occupied_housing_units_lower_value_quartile","owner_occupied_housing_units_lower_value_quartile",16.1443311631878
"employed_wholesale_trade","employed_wholesale_trade",16.1403804737848
"commuters_by_subway_or_elevated","commuters_by_subway_or_elevated",15.9428804184412
"different_house_year_ago_same_city","different_house_year_ago_same_city",15.2570630280247
"two_parent_families_with_young_children","two_parent_families_with_young_children",14.9683136973967
"black_male_55_64","black_male_55_64",14.9647031187531
"commute_45_59_mins","commute_45_59_mins",14.9250829414019
"commute_5_9_mins","commute_5_9_mins",14.7464946614979
"renter_occupied_housing_units_paying_cash_median_gross_rent","renter_occupied_housing_units_paying_cash_median_gross_rent",14.6464382947703
"commute_less_10_mins","commute_less_10_mins",14.6463017922165
"amerindian_pop","amerindian_pop",14.4865680787426
"rent_under_10_percent","rent_under_10_percent",14.1765666891398
"male_45_64_graduate_degree","male_45_64_graduate_degree",13.8482325193067
"two_parents_in_labor_force_families_with_young_children","two_parents_in_labor_force_families_with_young_children",13.3348877892587
"occupation_natural_resources_construction_maintenance","occupation_natural_resources_construction_maintenance",13.1573798889221
"white_pop","white_pop",13.0943707029423
"housing_built_1939_or_earlier","housing_built_1939_or_earlier",13.0721176074808
"commuters_by_bus","commuters_by_bus",12.9549262669202
"in_grades_5_to_8","in_grades_5_to_8",12.9302453474603
"male_under_5","male_under_5",12.7405142349804
"commute_40_44_mins","commute_40_44_mins",12.5329525892135
"commuters_by_public_transportation","commuters_by_public_transportation",12.3991647457364
"income_200000_or_more","income_200000_or_more",12.3737915016923
"employed_manufacturing","employed_manufacturing",12.0510058223667
"white_male_55_64","white_male_55_64",12.0302727208767
"commute_35_44_mins","commute_35_44_mins",11.7149666425352
"male_22_to_24","male_22_to_24",11.6002859532882
"employed_transportation_warehousing_utilities","employed_transportation_warehousing_utilities",11.3025958377347
"households_retirement_income","households_retirement_income",11.1564609376501
"commute_20_24_mins","commute_20_24_mins",10.9756758091769
"employed_education_health_social","employed_education_health_social",10.8701529812702
"commute_35_39_mins","commute_35_39_mins",10.6478664972372
"employed_finance_insurance_real_estate","employed_finance_insurance_real_estate",10.5429811557901
"male_5_to_9","male_5_to_9",10.5086611952929
"commute_90_more_mins","commute_90_more_mins",10.4870082171081
"dwellings_1_units_attached","dwellings_1_units_attached",10.4346460227032
"commute_30_34_mins","commute_30_34_mins",10.1828314526107
"commute_25_29_mins","commute_25_29_mins",9.90532163080567
"white_male_45_54","white_male_45_54",9.65824050857765
"three_cars","three_cars",9.37368675787025
"female_80_to_84","female_80_to_84",9.36163756272485
"female_62_to_64","female_62_to_64",9.25176334400362
"female_85_and_over","female_85_and_over",9.21625639558585
"worked_at_home","worked_at_home",8.76544623536503
"commute_60_89_mins","commute_60_89_mins",8.6711159789621
"male_70_to_74","male_70_to_74",8.50915438335288
"income_45000_49999","income_45000_49999",8.4079910977884
"vacant_housing_units_for_sale","vacant_housing_units_for_sale",8.29027585910766
"masters_degree","masters_degree",8.21372336049282
"graduate_professional_degree","graduate_professional_degree",8.20207990119947
"male_65_to_66","male_65_to_66",8.09713865280568
"female_65_to_66","female_65_to_66",7.72630854619622
"management_business_sci_arts_employed","management_business_sci_arts_employed",7.35973388200933
"commute_60_more_mins","commute_60_more_mins",7.28923785825062
"female_60_to_61","female_60_to_61",7.18005919299136
"employed_other_services_not_public_admin","employed_other_services_not_public_admin",7.08876637211904
"total_pop","total_pop",6.9480898224026
"employed_science_management_admin_waste","employed_science_management_admin_waste",6.94001168770184
"million_dollar_housing_units","million_dollar_housing_units",6.84550322971698
"commuters_drove_alone","commuters_drove_alone",6.79761405406837
"occupation_management_arts","occupation_management_arts",6.54230776784846
"male_75_to_79","male_75_to_79",6.45715937386829
"mortgaged_housing_units","mortgaged_housing_units",6.07534127513983
"female_70_to_74","female_70_to_74",5.25321094975212
"aggregate_travel_time_to_work","aggregate_travel_time_to_work",4.7913117042584
