"feature","attr_importance"
"1","population_3_years_over",0.896163074199531
"2","pop_25_64",0.865841901497059
"3","male_45_64_some_college",0.862137286849977
"4","commuters_by_car_truck_van",0.86194081424053
"5","female_20",0.860175730424311
"6","income_150000_199999",0.854290254596696
"7","population_1_year_and_over",0.846355040967675
"8","female_45_to_49",0.83960860375011
"9","female_pop",0.837950765930156
"10","four_more_cars",0.835226079892177
"11","one_year_more_college",0.835132514946547
"12","employed_retail_trade",0.83372342666211
"13","some_college_and_associates_degree",0.832414837882805
"14","female_18_to_19",0.831377822202449
"15","white_male_45_54",0.830352445731556
"16","graduate_professional_degree",0.83017359719828
"17","employed_pop",0.828148902211884
"18","income_25000_29999",0.826838998844251
"19","masters_degree",0.825410808626153
"20","male_10_to_14",0.819591685421882
"21","dwellings_1_units_attached",0.819084831969693
"22","male_5_to_9",0.818528560209898
"23","income_30000_34999",0.817334036684148
"24","female_15_to_17",0.816206054943036
"25","rent_40_to_50_percent",0.815841116645934
"26","female_5_to_9",0.811275239905242
"27","associates_degree",0.810916002907429
"28","male_65_to_66",0.809820463693247
"29","one_car",0.804840717963176
"30","commute_less_10_mins",0.804531635814431
"31","two_or_more_races_pop",0.804157622548273
"32","families_with_young_children",0.803843688097092
"33","male_45_64_grade_9_12",0.797715886886061
"34","median_income",0.795091622539774
"35","pop_in_labor_force",0.795082220921825
"36","unemployed_pop",0.794467389607813
"37","income_35000_39999",0.791199743096436
"38","children_in_single_female_hh",0.78665127972283
"39","not_us_citizen_pop",0.785200920509331
"40","male_80_to_84",0.78430694498418
"41","male_15_to_17",0.783048306489209
"42","female_10_to_14",0.782995935236085
"43","housing_built_1939_or_earlier",0.782668263094586
"44","male_75_to_79",0.782349473387574
"45","male_45_to_49",0.78143852687992
"46","in_grades_9_to_12",0.781116101384189
"47","housing_units",0.780989303599209
"48","male_22_to_24",0.777149550502487
"49","owner_occupied_housing_units_median_value",0.77618973570526
"50","commute_25_29_mins",0.77561892518627
"51","commute_40_44_mins",0.774960165419358
"52","dwellings_2_units",0.774659472069407
"53","housing_built_2005_or_later",0.772822621293684
"54","income_100000_124999",0.771135570042158
"55","different_house_year_ago_same_city",0.769333295292639
"56","pop_16_over",0.768990605308376
"57","rent_10_to_15_percent",0.768797729530187
"58","dwellings_10_to_19_units",0.767819085348392
"59","asian_male_45_54",0.766566013964656
"60","male_30_to_34",0.765887511579729
"61","male_60_61",0.765517092411192
"62","two_parents_father_in_labor_force_families_with_young_children",0.76551190212757
"63","employed_transportation_warehousing_utilities",0.765371232148049
"64","commuters_drove_alone",0.763879808014776
"65","income_40000_44999",0.763338072721458
"66","white_male_55_64",0.763120398223045
"67","two_parents_in_labor_force_families_with_young_children",0.762952561572794
"68","hispanic_male_55_64",0.758778787603094
"69","commute_35_39_mins",0.757797381442338
"70","employed_construction",0.75137559909011
"71","amerindian_pop",0.750490610222357
"72","income_per_capita",0.748512727192671
"73","female_80_to_84",0.747150363350685
"74","female_75_to_79",0.745310702818828
"75","female_21",0.744654007799723
"76","employed_science_management_admin_waste",0.74199275190084
"77","male_21",0.740824819180321
"78","households",0.740813467006074
"79","occupied_housing_units",0.740813467006074
"80","one_parent_families_with_young_children",0.740616405454944
"81","male_40_to_44",0.739970138366027
"82","housing_built_2000_to_2004",0.738180649244128
"83","vacant_housing_units",0.735947723940174
"84","in_school",0.73404371459824
"85","male_18_to_19",0.732835937625012
"86","median_rent",0.732576095262076
"87","female_60_to_61",0.73074222119456
"88","worked_at_home",0.729904057809588
"89","employed_public_administration",0.72948287675429
"90","commuters_by_bus",0.729434532878944
"91","female_25_to_29",0.729389452966968
"92","female_85_and_over",0.725026615464718
"93","female_62_to_64",0.724039837798895
"94","male_85_and_over",0.723626136820989
"95","employed_finance_insurance_real_estate",0.722589169468703
"96","commuters_by_carpool",0.722557085433394
"97","male_male_households",0.722514802690589
"98","rent_35_to_40_percent",0.722293335166233
"99","rent_burden_not_computed",0.722146096907573
"100","armed_forces",0.721361639292542
"101","rent_15_to_20_percent",0.721136500740039
"102","income_45000_49999",0.720135408759157
"103","employed_wholesale_trade",0.719468649573821
"104","black_including_hispanic",0.719227155888189
"105","female_55_to_59",0.719172690268962
"106","commute_5_9_mins",0.715559952979109
"107","income_125000_149999",0.71359852938243
"108","vacant_housing_units_for_sale",0.712651951519019
"109","walked_to_work",0.711105689816207
"110","rent_30_to_35_percent",0.710353781073438
"111","commute_15_19_mins",0.708379900456873
"112","male_45_64_less_than_9_grade",0.706112602463195
"113","employed_manufacturing",0.706069067663969
"114","rent_25_to_30_percent",0.704047981476315
"115","male_45_64_graduate_degree",0.701821836692097
"116","less_than_high_school_graduate",0.698325915164795
"117","male_pop",0.695476038402671
"118","white_including_hispanic",0.693342383383125
"119","male_35_to_39",0.69143691427747
"120","three_cars",0.690382766611919
"121","commute_60_89_mins",0.689143474428316
"122","rent_over_50_percent",0.687388638029514
