"feature","attr_importance"
"1","owner_occupied_housing_units_lower_value_quartile",0.3003838928974
"2","owner_occupied_housing_units_upper_value_quartile",0.274686214784879
"3","owner_occupied_housing_units_median_value",0.266640074145463
"4","walked_to_work",0.255519148015951
"5","dwellings_10_to_19_units",0.25223471765916
"6","median_rent",0.245435659362236
"7","vacant_housing_units_for_sale",0.237599045920216
"8","income_15000_19999",0.235361166314414
"9","worked_at_home",0.231757839789094
"10","female_female_households",0.230045242354438
"11","renter_occupied_housing_units_paying_cash_median_gross_rent",0.226071027753845
"12","father_one_parent_families_with_young_children",0.225158370909365
"13","father_in_labor_force_one_parent_families_with_young_children",0.224488221101738
"14","commute_35_44_mins",0.223891104842394
"15","commute_35_39_mins",0.223214203706499
"16","rent_10_to_15_percent",0.221824054494819
"17","income_100000_124999",0.221272541666428
"18","white_pop",0.220413143516952
"19","white_male_55_64",0.220325903046445
"20","graduate_professional_degree",0.219608897787489
"21","income_150000_199999",0.219440814650428
"22","male_45_64_bachelors_degree",0.219306358678912
"23","male_45_64_some_college",0.219065958839433
"24","amerindian_pop",0.218867923794306
"25","three_cars",0.217659568923331
"26","less_one_year_college",0.21713929376554
"27","mortgaged_housing_units",0.216953618619513
"28","bachelors_degree_or_higher_25_64",0.216595588310632
"29","employed_science_management_admin_waste",0.216330641973837
"30","bachelors_degree_2",0.215498922501738
"31","bachelors_degree",0.215498922501738
"32","some_college_and_associates_degree",0.215149022096697
"33","masters_degree",0.213650203575357
"34","commute_25_29_mins",0.212509124695482
"35","employed_construction",0.212440128837674
"36","commute_40_44_mins",0.212431594254028
"37","four_more_cars",0.212256579876008
"38","employed_arts_entertainment_recreation_accommodation_food",0.212242314060277
"39","male_45_64_graduate_degree",0.21202052939436
"40","income_125000_149999",0.211954897372976
"41","white_including_hispanic",0.211522196318393
"42","employed_pop",0.211506260711295
"43","less_than_high_school_graduate",0.21128102541624
"44","income_75000_99999",0.211278834045928
"45","workers_16_and_over",0.211145687782262
"46","commuters_by_car_truck_van",0.210531940278759
"47","male_male_households",0.210462773163668
"48","armed_forces",0.210222238630608
"49","commuters_16_over",0.210097707306989
"50","income_60000_74999",0.209788943082375
"51","commute_30_34_mins",0.209702154347283
"52","management_business_sci_arts_employed",0.20952156489778
"53","occupation_management_arts",0.20952156489778
"54","not_hispanic_pop",0.209197352705981
"55","commuters_drove_alone",0.209194176217077
"56","male_45_64_associates_degree",0.208482356634213
"57","associates_degree",0.20807773904834
"58","pop_in_labor_force",0.208036620331826
"59","two_parents_in_labor_force_families_with_young_children",0.207876500660026
"60","other_race_pop",0.207860055874961
"61","civilian_labor_force",0.207839159931885
"62","employed_wholesale_trade",0.207571256087445
"63","male_55_to_59",0.207156214208832
"64","employed_finance_insurance_real_estate",0.206599357027936
"65","employed_information",0.206514434681567
"66","occupation_sales_office",0.206215295464127
"67","sales_office_employed",0.206215295464127
"68","different_house_year_ago_different_city",0.20556060146598
"69","median_income",0.205556444460391
"70","employed_other_services_not_public_admin",0.205516096050325
"71","two_cars",0.205458304038617
"72","one_year_more_college",0.205215526685869
"73","million_dollar_housing_units",0.204828646882997
"74","dwellings_1_units_detached",0.204594013537855
"75","income_less_10000",0.204430751788769
"76","male_60_61",0.204329741070807
"77","poverty",0.204288300802891
"78","male_40_to_44",0.203768718740915
"79","commuters_by_carpool",0.203613657931903
"80","income_50000_59999",0.203521934847627
"81","occupation_natural_resources_construction_maintenance",0.203515032193618
